boundary_id,record_index,payload_type,termination_reason
compaction-68445,68445,context_compacted,EXPLICIT_COMPACTION
compaction-68926,68926,compacted,EXPLICIT_COMPACTION
compaction-68929,68929,context_compacted,EXPLICIT_COMPACTION
compaction-69414,69414,compacted,EXPLICIT_COMPACTION
compaction-69417,69417,context_compacted,EXPLICIT_COMPACTION
compaction-70174,70174,compacted,EXPLICIT_COMPACTION
compaction-70177,70177,context_compacted,EXPLICIT_COMPACTION
compaction-70771,70771,compacted,EXPLICIT_COMPACTION
compaction-70774,70774,context_compacted,EXPLICIT_COMPACTION
compaction-71506,71506,compacted,EXPLICIT_COMPACTION
compaction-71509,71509,context_compacted,EXPLICIT_COMPACTION
compaction-72088,72088,compacted,EXPLICIT_COMPACTION
compaction-72091,72091,context_compacted,EXPLICIT_COMPACTION
compaction-72651,72651,compacted,EXPLICIT_COMPACTION
compaction-72654,72654,context_compacted,EXPLICIT_COMPACTION
compaction-73386,73386,compacted,EXPLICIT_COMPACTION
compaction-73389,73389,context_compacted,EXPLICIT_COMPACTION
compaction-74089,74089,compacted,EXPLICIT_COMPACTION
compaction-74092,74092,context_compacted,EXPLICIT_COMPACTION
compaction-75159,75159,compacted,EXPLICIT_COMPACTION
compaction-75162,75162,context_compacted,EXPLICIT_COMPACTION
compaction-75838,75838,compacted,EXPLICIT_COMPACTION
compaction-75841,75841,context_compacted,EXPLICIT_COMPACTION
compaction-76407,76407,compacted,EXPLICIT_COMPACTION
compaction-76410,76410,context_compacted,EXPLICIT_COMPACTION
compaction-77214,77214,compacted,EXPLICIT_COMPACTION
compaction-77217,77217,context_compacted,EXPLICIT_COMPACTION
compaction-77799,77799,compacted,EXPLICIT_COMPACTION
compaction-77802,77802,context_compacted,EXPLICIT_COMPACTION
compaction-78665,78665,compacted,EXPLICIT_COMPACTION
compaction-78668,78668,context_compacted,EXPLICIT_COMPACTION
compaction-79371,79371,compacted,EXPLICIT_COMPACTION
compaction-79374,79374,context_compacted,EXPLICIT_COMPACTION
compaction-79609,79609,compacted,EXPLICIT_COMPACTION
compaction-79612,79612,context_compacted,EXPLICIT_COMPACTION
compaction-79842,79842,compacted,EXPLICIT_COMPACTION
compaction-79845,79845,context_compacted,EXPLICIT_COMPACTION
compaction-79985,79985,compacted,EXPLICIT_COMPACTION
compaction-79988,79988,context_compacted,EXPLICIT_COMPACTION
compaction-80229,80229,compacted,EXPLICIT_COMPACTION
compaction-80231,80231,context_compacted,EXPLICIT_COMPACTION
compaction-80486,80486,compacted,EXPLICIT_COMPACTION
compaction-80489,80489,context_compacted,EXPLICIT_COMPACTION
compaction-80612,80612,compacted,EXPLICIT_COMPACTION
compaction-80615,80615,context_compacted,EXPLICIT_COMPACTION
compaction-80866,80866,compacted,EXPLICIT_COMPACTION
compaction-80869,80869,context_compacted,EXPLICIT_COMPACTION
compaction-81079,81079,compacted,EXPLICIT_COMPACTION
compaction-81082,81082,context_compacted,EXPLICIT_COMPACTION
compaction-81254,81254,compacted,EXPLICIT_COMPACTION
compaction-81257,81257,context_compacted,EXPLICIT_COMPACTION
compaction-81374,81374,compacted,EXPLICIT_COMPACTION
compaction-81377,81377,context_compacted,EXPLICIT_COMPACTION
compaction-81517,81517,compacted,EXPLICIT_COMPACTION
compaction-81520,81520,context_compacted,EXPLICIT_COMPACTION
compaction-81659,81659,compacted,EXPLICIT_COMPACTION
compaction-81662,81662,context_compacted,EXPLICIT_COMPACTION
compaction-81800,81800,compacted,EXPLICIT_COMPACTION
compaction-81803,81803,context_compacted,EXPLICIT_COMPACTION
compaction-81904,81904,compacted,EXPLICIT_COMPACTION
compaction-81907,81907,context_compacted,EXPLICIT_COMPACTION
compaction-81966,81966,compacted,EXPLICIT_COMPACTION
compaction-81969,81969,context_compacted,EXPLICIT_COMPACTION
compaction-82107,82107,compacted,EXPLICIT_COMPACTION
compaction-82110,82110,context_compacted,EXPLICIT_COMPACTION
compaction-82211,82211,compacted,EXPLICIT_COMPACTION
compaction-82214,82214,context_compacted,EXPLICIT_COMPACTION
compaction-82271,82271,compacted,EXPLICIT_COMPACTION
compaction-82274,82274,context_compacted,EXPLICIT_COMPACTION
compaction-82398,82398,compacted,EXPLICIT_COMPACTION
compaction-82401,82401,context_compacted,EXPLICIT_COMPACTION
compaction-82480,82480,compacted,EXPLICIT_COMPACTION
compaction-82483,82483,context_compacted,EXPLICIT_COMPACTION
compaction-82584,82584,compacted,EXPLICIT_COMPACTION
compaction-82587,82587,context_compacted,EXPLICIT_COMPACTION
compaction-82674,82674,compacted,EXPLICIT_COMPACTION
compaction-82677,82677,context_compacted,EXPLICIT_COMPACTION
compaction-82763,82763,compacted,EXPLICIT_COMPACTION
compaction-82766,82766,context_compacted,EXPLICIT_COMPACTION
compaction-82865,82865,compacted,EXPLICIT_COMPACTION
compaction-82868,82868,context_compacted,EXPLICIT_COMPACTION
compaction-82957,82957,compacted,EXPLICIT_COMPACTION
compaction-82960,82960,context_compacted,EXPLICIT_COMPACTION
compaction-83020,83020,compacted,EXPLICIT_COMPACTION
compaction-83023,83023,context_compacted,EXPLICIT_COMPACTION
compaction-83104,83104,compacted,EXPLICIT_COMPACTION
compaction-83107,83107,context_compacted,EXPLICIT_COMPACTION
compaction-83211,83211,compacted,EXPLICIT_COMPACTION
compaction-83214,83214,context_compacted,EXPLICIT_COMPACTION
compaction-83289,83289,compacted,EXPLICIT_COMPACTION
compaction-83292,83292,context_compacted,EXPLICIT_COMPACTION
compaction-83373,83373,compacted,EXPLICIT_COMPACTION
compaction-83376,83376,context_compacted,EXPLICIT_COMPACTION
compaction-83443,83443,compacted,EXPLICIT_COMPACTION
compaction-83446,83446,context_compacted,EXPLICIT_COMPACTION
compaction-83569,83569,compacted,EXPLICIT_COMPACTION
compaction-83572,83572,context_compacted,EXPLICIT_COMPACTION
compaction-83665,83665,compacted,EXPLICIT_COMPACTION
compaction-83668,83668,context_compacted,EXPLICIT_COMPACTION
compaction-83718,83718,compacted,EXPLICIT_COMPACTION
compaction-83721,83721,context_compacted,EXPLICIT_COMPACTION
compaction-83803,83803,compacted,EXPLICIT_COMPACTION
compaction-83806,83806,context_compacted,EXPLICIT_COMPACTION
compaction-83873,83873,compacted,EXPLICIT_COMPACTION
compaction-83876,83876,context_compacted,EXPLICIT_COMPACTION
compaction-83931,83931,compacted,EXPLICIT_COMPACTION
compaction-83934,83934,context_compacted,EXPLICIT_COMPACTION
compaction-84008,84008,compacted,EXPLICIT_COMPACTION
compaction-84011,84011,context_compacted,EXPLICIT_COMPACTION
compaction-84066,84066,compacted,EXPLICIT_COMPACTION
compaction-84069,84069,context_compacted,EXPLICIT_COMPACTION
